destroy_severity,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
1.0,coherent_memory,arbiter_only,0.7450741608867529,0.7450741608867529,0.01603052040259766,0.7927632014615265,0.7450741608875926,0.15817335502300103,0.5869008058637518,0.7290436404841553,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,speed_only_no_memory,0.2502987280167324,0.2502987280167324,0.01603052040259766,0.7927632014615265,0.7450741608875926,0.1722332195649641,0.0780655084517683,0.23426820761413475,0.701171875,0.701171875,0.298828125,0.0,0.25,2048
0.7,coherent_memory,speed_only_no_memory,0.24985381901679127,0.24985381901679127,0.015292221400948334,0.7930502602799258,0.7452550556923373,0.17349766458980775,0.0763561544269835,0.23456159761584294,0.69873046875,0.69873046875,0.30126953125,0.0,0.25,2048
0.7,destroyed_memory,overdriven_arbiter,0.2110998855254788,0.2110998855254788,0.015292221400948334,0.20118114641670323,0.19356096759674088,0.17699575340558918,0.034104132119889614,0.19580766412453046,0.6083984375,0.6083984375,0.3916015625,0.0,0.25,2048
0.7,destroyed_memory,latent_memory_only,0.20118114641646587,0.20118114641646587,0.015292221400948334,0.20118114641670323,0.19356096759674088,0.17889126993437385,0.022289876482092016,0.18588892501551754,0.56689453125,0.56689453125,0.43310546875,0.0,0.25,2048
0.7,destroyed_memory,arbiter_only,0.19356096759651464,0.19356096759651464,0.015292221400948334,0.20118114641670323,0.19356096759674088,0.17696262956193104,0.016598338034583607,0.17826874619556632,0.56494140625,0.56494140625,0.43505859375,0.0,0.25,2048
0.7,destroyed_memory,memory_bounded_arbiter,0.2020847932401777,0.2020847932401777,0.015292221400948334,0.20118114641670323,0.19356096759674088,0.17867241275517926,0.023412380484998458,0.18679257183922937,0.56201171875,0.56201171875,0.43798828125,0.0,0.25,2048
0.7,adversarial_memory,arbiter_only,0.1954303485443964,0.1954303485443964,0.015292221400948334,-0.1630043148158376,0.19543034854462357,0.17590394806588286,0.019526400478513506,0.18013812714344804,0.5556640625,0.5556640625,0.4443359375,0.0,0.25,2048
0.7,adversarial_memory,overdriven_arbiter,0.16438042749509676,0.16438042749509676,0.015292221400948334,-0.1630043148158376,0.19543034854462357,0.2038632152149957,-0.03948278771989895,0.14908820609414844,0.39501953125,0.39501953125,0.60498046875,0.0,0.25,2048
0.7,destroyed_memory,speed_only_no_memory,0.07575366673144479,0.07575366673144479,0.015292221400948334,0.20118114641670323,0.19356096759674088,0.17299823562582667,-0.09724456889438189,0.06046144533049645,0.263671875,0.263671875,0.736328125,0.0,0.25,2048
0.7,adversarial_memory,speed_only_no_memory,0.07647539534717902,0.07647539534717902,0.015292221400948334,-0.1630043148158376,0.19543034854462357,0.1731096273377369,-0.0966342319905579,0.061183173946230685,0.2626953125,0.2626953125,0.7373046875,0.0,0.25,2048
1.0,adversarial_memory,shuffled_label_control,0.0911098569987905,0.15861269344781104,0.01603052040259766,-0.1639040269134801,0.005140743195423686,0.17560032287610805,-0.08449046587731757,0.07507933659619284,0.2083740234375,0.23974609375,0.7916259765625,0.23974609375,0.25,16384
1.0,shuffled_memory,shuffled_label_control,0.19514198089679935,0.19238992625908763,0.01603052040259766,0.12887121317860636,0.11387218283628618,0.29701419396099155,-0.1018722130641922,0.17911146049420168,0.2401123046875,0.23382568359375,0.7598876953125,0.23382568359375,0.25,16384
0.7,wrong_coherent_memory,shuffled_label_control,0.13761070828345873,0.12716850536080102,0.015292221400948334,0.01334070711545916,0.012685798191466676,0.023361805246851244,0.11424890303660748,0.12231848688251039,0.25030517578125,0.23358154296875,0.74969482421875,0.23358154296875,0.25,16384
0.7,memory_swap,shuffled_label_control,0.13761070828345873,0.12786085573102599,0.015292221400948334,0.01334070711545916,0.012685798191466676,0.023361805246851244,0.11424890303660748,0.12231848688251039,0.25030517578125,0.2325439453125,0.74969482421875,0.2325439453125,0.25,16384
0.7,shuffled_memory,shuffled_label_control,0.19951616320582405,0.1911614021128152,0.015292221400948334,0.13728106611286411,0.12251031851875252,0.294516073161847,-0.09499990995602299,0.18422394180487572,0.24468994140625,0.2322998046875,0.75531005859375,0.2322998046875,0.25,16384
1.0,destroyed_memory,shuffled_label_control,0.13489648838544124,0.12752556533230186,0.01603052040259766,0.006194686182395716,0.007876691268511819,0.02396707767084795,0.1109294107145933,0.11886596798284359,0.25469970703125,0.2305908203125,0.74530029296875,0.2305908203125,0.25,16384
1.0,memory_swap,shuffled_label_control,0.13776640004549479,0.12717672096429333,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.0224635445405559,0.11530285550493889,0.12173587964289713,0.2529296875,0.230224609375,0.7470703125,0.230224609375,0.25,16384
1.0,wrong_coherent_memory,shuffled_label_control,0.13776640004549479,0.12738151498626182,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.0224635445405559,0.11530285550493889,0.12173587964289713,0.2529296875,0.22991943359375,0.7470703125,0.22991943359375,0.25,16384
0.7,adversarial_memory,shuffled_label_control,0.1476144260716005,0.15679119031136757,0.015292221400948334,-0.1630043148158376,0.19543034854462357,0.1769441479335969,-0.029329721861996387,0.13232220467065214,0.31451416015625,0.21966552734375,0.68548583984375,0.21966552734375,0.25,16384
0.7,destroyed_memory,shuffled_label_control,0.23928311278898484,0.13101372854526763,0.015292221400948334,0.20118114641670323,0.19356096759674088,0.028436145716770826,0.210846967072214,0.22399089138803652,0.48358154296875,0.19830322265625,0.51641845703125,0.19830322265625,0.25,16384
