memory_cap,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
1.0,shuffled_memory,exact_template_upper_bound,1.0,1.0,0.01622765670628164,0.14964664824669904,0.1349784767780956,-1.0,2.0,0.9837723432937183,1.0,1.0,0.0,0.0,0.25,2048
1.0,wrong_coherent_memory,exact_template_upper_bound,1.0,1.0,0.01622765670628164,0.009515345633174738,0.008783392282221303,-1.0,2.0,0.9837723432937183,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,latent_memory_only,0.9261731014530763,0.9261731014530763,0.01622765670628164,0.9261731014540024,0.8936368679351614,0.22225175330110786,0.7039213481519684,0.9099454447467946,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,memory_bounded_arbiter,0.9180762285058551,0.9180762285058551,0.01622765670628164,0.9261731014540024,0.8936368679351614,0.1973494174940507,0.7207268110118045,0.9018485717995735,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,overdriven_arbiter,0.9016696139691378,0.9016696139691378,0.01622765670628164,0.9261731014540024,0.8936368679351614,0.1614909208127878,0.7401786931563501,0.8854419572628562,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,arbiter_only,0.8936368679342678,0.8936368679342678,0.01622765670628164,0.9261731014540024,0.8936368679351614,0.15326375645507398,0.7403731114791938,0.8774092112279861,1.0,1.0,0.0,0.0,0.25,2048
0.5,coherent_memory,latent_memory_only,0.6596403602865215,0.6596403602865215,0.015095085097264352,0.6596403602874497,0.5966923486447684,0.18755246079303062,0.47208789949349095,0.6445452751892572,1.0,1.0,0.0,0.0,0.25,2048
0.5,coherent_memory,arbiter_only,0.5966923486439827,0.5966923486439827,0.015095085097264352,0.6596403602874497,0.5966923486447684,0.1633694168204527,0.43332293182352993,0.5815972635467183,1.0,1.0,0.0,0.0,0.25,2048
0.5,coherent_memory,overdriven_arbiter,0.5928792826015761,0.5928792826015761,0.015095085097264352,0.6596403602874497,0.5966923486447684,0.16613192438931912,0.42674735821225696,0.5777841975043116,1.0,1.0,0.0,0.0,0.25,2048
0.5,coherent_memory,memory_bounded_arbiter,0.587382900860682,0.587382900860682,0.015095085097264352,0.6596403602874497,0.5966923486447684,0.1768678248199353,0.4105150760407468,0.5722878157634177,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,speed_only_no_memory,0.3156622754816586,0.3156622754816586,0.01622765670628164,0.9261731014540024,0.8936368679351614,0.17224135794566994,0.14342091753598868,0.29943461877537697,0.865234375,0.865234375,0.134765625,0.0,0.25,2048
0.5,coherent_memory,speed_only_no_memory,0.18449027155186506,0.18449027155186506,0.015095085097264352,0.6596403602874497,0.5966923486447684,0.17348952620910194,0.011000745342763133,0.16939518645460072,0.53466796875,0.53466796875,0.46533203125,0.0,0.25,2048
1.0,destroyed_memory,overdriven_arbiter,0.127049371628379,0.127049371628379,0.01622765670628164,0.11232176268805426,0.11265615558128772,0.1728575197402477,-0.0458081481118687,0.11082171492209736,0.4228515625,0.4228515625,0.5771484375,0.0,0.25,2048
1.0,destroyed_memory,memory_bounded_arbiter,0.11778438025439676,0.11778438025439676,0.01622765670628164,0.11232176268805426,0.11265615558128772,0.17455268544385671,-0.05676830518945994,0.10155672354811512,0.3896484375,0.3896484375,0.6103515625,0.0,0.25,2048
1.0,destroyed_memory,arbiter_only,0.11265615558117505,0.11265615558117505,0.01622765670628164,0.11232176268805426,0.11265615558128772,0.1725185372839722,-0.05986238170279716,0.09642849887489341,0.3896484375,0.3896484375,0.6103515625,0.0,0.25,2048
1.0,adversarial_memory,arbiter_only,0.11497394968925004,0.11497394968925004,0.01622765670628164,-0.19786970476634974,0.11497394968936503,0.17573519972924947,-0.06076125003999944,0.0987462929829684,0.388671875,0.388671875,0.611328125,0.0,0.25,2048
1.0,destroyed_memory,latent_memory_only,0.11232176268794193,0.11232176268794193,0.01622765670628164,0.11232176268805426,0.11265615558128772,0.1735429606882833,-0.061221198000341356,0.0960941059816603,0.38330078125,0.38330078125,0.61669921875,0.0,0.25,2048
0.5,destroyed_memory,overdriven_arbiter,0.09267954043852392,0.09267954043852392,0.015095085097264352,0.09505406991104468,0.08878150328396497,0.17414841560468974,-0.08146887516616581,0.07758445534125956,0.33203125,0.33203125,0.66796875,0.0,0.25,2048
0.5,destroyed_memory,latent_memory_only,0.09505406991090987,0.09505406991090987,0.015095085097264352,0.09505406991104468,0.08878150328396497,0.17573255963294854,-0.08067848972203867,0.07995898481364551,0.32275390625,0.32275390625,0.67724609375,0.0,0.25,2048
0.5,destroyed_memory,memory_bounded_arbiter,0.09261503879521993,0.09261503879521993,0.015095085097264352,0.09505406991104468,0.08878150328396497,0.17463492144292023,-0.0820198826477003,0.07751995369795557,0.31982421875,0.31982421875,0.68017578125,0.0,0.25,2048
0.5,destroyed_memory,arbiter_only,0.08878150328384123,0.08878150328384123,0.015095085097264352,0.09505406991104468,0.08878150328396497,0.17428271664600584,-0.08550121336216462,0.07368641818657687,0.31640625,0.31640625,0.68359375,0.0,0.25,2048
